Ten minute period number,Current state,Unoccup_prob,Occupied_prob
1,0,0.994,0.006
1,1,0.207,0.793
2,0,0.995,0.005
2,1,0.169,0.831
3,0,0.997,0.003
3,1,0.247,0.753
4,0,0.997,0.003
4,1,0.150,0.850
5,0,0.996,0.004
5,1,0.163,0.837
6,0,0.994,0.006
6,1,0.474,0.526
7,0,0.997,0.003
7,1,0.200,0.800
8,0,0.999,0.001
8,1,0.197,0.803
9,0,0.996,0.004
9,1,0.157,0.843
10,0,0.998,0.002
10,1,0.220,0.780
11,0,0.996,0.004
11,1,0.286,0.714
12,0,0.994,0.006
12,1,0.270,0.730
13,0,0.996,0.004
13,1,0.324,0.676
14,0,0.992,0.008
14,1,0.313,0.688
15,0,0.997,0.003
15,1,0.171,0.829
16,0,0.996,0.004
16,1,0.118,0.882
17,0,0.994,0.006
17,1,0.389,0.611
18,0,0.992,0.008
18,1,0.281,0.719
19,0,0.995,0.005
19,1,0.250,0.750
20,0,0.998,0.002
20,1,0.314,0.686
21,0,1.000,0.000
21,1,0.185,0.815
22,0,0.997,0.003
22,1,0.182,0.818
23,0,0.993,0.007
23,1,0.348,0.652
24,0,0.990,0.010
24,1,0.778,0.222
25,0,0.995,0.005
25,1,0.261,0.739
26,0,0.992,0.008
26,1,0.154,0.846
27,0,0.992,0.008
27,1,0.314,0.686
28,0,0.990,0.010
28,1,0.263,0.737
29,0,0.992,0.008
29,1,0.205,0.795
30,0,0.985,0.015
30,1,0.163,0.837
31,0,0.988,0.012
31,1,0.212,0.788
32,0,0.990,0.010
32,1,0.225,0.775
33,0,0.983,0.017
33,1,0.183,0.817
34,0,0.986,0.014
34,1,0.093,0.907
35,0,0.979,0.021
35,1,0.200,0.800
36,0,0.959,0.041
36,1,0.079,0.921
37,0,0.967,0.033
37,1,0.106,0.894
38,0,0.971,0.029
38,1,0.084,0.916
39,0,0.955,0.045
39,1,0.092,0.908
40,0,0.960,0.040
40,1,0.087,0.913
41,0,0.947,0.053
41,1,0.078,0.922
42,0,0.836,0.164
42,1,0.098,0.902
43,0,0.927,0.073
43,1,0.048,0.952
44,0,0.904,0.096
44,1,0.063,0.937
45,0,0.878,0.122
45,1,0.060,0.940
46,0,0.925,0.075
46,1,0.058,0.942
47,0,0.893,0.107
47,1,0.059,0.941
48,0,0.825,0.175
48,1,0.056,0.944
49,0,0.919,0.081
49,1,0.044,0.956
50,0,0.945,0.055
50,1,0.059,0.941
51,0,0.919,0.081
51,1,0.095,0.905
52,0,0.957,0.043
52,1,0.096,0.904
53,0,0.951,0.049
53,1,0.075,0.925
54,0,0.924,0.076
54,1,0.075,0.925
55,0,0.941,0.059
55,1,0.059,0.941
56,0,0.969,0.031
56,1,0.059,0.941
57,0,0.955,0.045
57,1,0.055,0.945
58,0,0.975,0.025
58,1,0.047,0.953
59,0,0.977,0.023
59,1,0.065,0.935
60,0,0.932,0.068
60,1,0.116,0.884
61,0,0.984,0.016
61,1,0.042,0.958
62,0,0.971,0.029
62,1,0.050,0.950
63,0,0.967,0.033
63,1,0.084,0.916
64,0,0.969,0.031
64,1,0.046,0.954
65,0,0.970,0.030
65,1,0.058,0.942
66,0,0.956,0.044
66,1,0.068,0.932
67,0,0.976,0.024
67,1,0.043,0.957
68,0,0.965,0.035
68,1,0.056,0.944
69,0,0.956,0.044
69,1,0.051,0.949
70,0,0.976,0.024
70,1,0.034,0.966
71,0,0.968,0.032
71,1,0.050,0.950
72,0,0.953,0.047
72,1,0.054,0.946
73,0,0.959,0.041
73,1,0.033,0.967
74,0,0.968,0.032
74,1,0.041,0.959
75,0,0.957,0.043
75,1,0.020,0.980
76,0,0.968,0.032
76,1,0.032,0.968
77,0,0.971,0.029
77,1,0.041,0.959
78,0,0.936,0.064
78,1,0.082,0.918
79,0,0.970,0.030
79,1,0.043,0.957
80,0,0.969,0.031
80,1,0.040,0.960
81,0,0.972,0.028
81,1,0.048,0.952
82,0,0.974,0.026
82,1,0.053,0.947
83,0,0.969,0.031
83,1,0.062,0.938
84,0,0.966,0.034
84,1,0.093,0.907
85,0,0.982,0.018
85,1,0.055,0.945
86,0,0.973,0.027
86,1,0.050,0.950
87,0,0.970,0.030
87,1,0.063,0.937
88,0,0.977,0.023
88,1,0.055,0.945
89,0,0.968,0.032
89,1,0.059,0.941
90,0,0.952,0.048
90,1,0.064,0.936
91,0,0.971,0.029
91,1,0.031,0.969
92,0,0.962,0.038
92,1,0.038,0.962
93,0,0.942,0.058
93,1,0.047,0.953
94,0,0.947,0.053
94,1,0.022,0.978
95,0,0.948,0.052
95,1,0.030,0.970
96,0,0.892,0.108
96,1,0.071,0.929
97,0,0.952,0.048
97,1,0.025,0.975
98,0,0.959,0.041
98,1,0.019,0.981
99,0,0.957,0.043
99,1,0.028,0.972
100,0,0.931,0.069
100,1,0.021,0.979
101,0,0.944,0.056
101,1,0.023,0.977
102,0,0.919,0.081
102,1,0.030,0.970
103,0,0.936,0.064
103,1,0.017,0.983
104,0,0.942,0.058
104,1,0.020,0.980
105,0,0.913,0.087
105,1,0.027,0.973
106,0,0.930,0.070
106,1,0.017,0.983
107,0,0.915,0.085
107,1,0.016,0.984
108,0,0.868,0.132
108,1,0.030,0.970
109,0,0.910,0.090
109,1,0.020,0.980
110,0,0.927,0.073
110,1,0.021,0.979
111,0,0.913,0.087
111,1,0.026,0.974
112,0,0.929,0.071
112,1,0.022,0.978
113,0,0.932,0.068
113,1,0.029,0.971
114,0,0.893,0.107
114,1,0.053,0.947
115,0,0.940,0.060
115,1,0.014,0.986
116,0,0.938,0.062
116,1,0.015,0.985
117,0,0.932,0.068
117,1,0.029,0.971
118,0,0.944,0.056
118,1,0.016,0.984
119,0,0.957,0.043
119,1,0.030,0.970
120,0,0.928,0.072
120,1,0.021,0.979
121,0,0.945,0.055
121,1,0.010,0.990
122,0,0.970,0.030
122,1,0.017,0.983
123,0,0.947,0.053
123,1,0.020,0.980
124,0,0.962,0.038
124,1,0.014,0.986
125,0,0.947,0.053
125,1,0.016,0.984
126,0,0.944,0.056
126,1,0.028,0.972
127,0,0.947,0.053
127,1,0.011,0.989
128,0,0.955,0.045
128,1,0.019,0.981
129,0,0.948,0.052
129,1,0.024,0.976
130,0,0.964,0.036
130,1,0.023,0.977
131,0,0.956,0.044
131,1,0.084,0.916
132,0,0.936,0.064
132,1,0.111,0.889
133,0,0.965,0.035
133,1,0.033,0.967
134,0,0.965,0.035
134,1,0.056,0.944
135,0,0.973,0.027
135,1,0.092,0.908
136,0,0.975,0.025
136,1,0.074,0.926
137,0,0.984,0.016
137,1,0.106,0.894
138,0,0.977,0.023
138,1,0.208,0.793
139,0,0.990,0.010
139,1,0.118,0.882
140,0,0.987,0.013
140,1,0.116,0.884
141,0,0.989,0.011
141,1,0.174,0.826
142,0,0.986,0.014
142,1,0.130,0.870
143,0,0.995,0.005
143,1,0.187,0.813
144,0,0.990,0.010
144,1,0.260,0.740
